,taken person quant  reading
0,619   dyer   rad     9.82
1,619   dyer   sal     0.13
2,622   dyer   rad     7.80
3,622   dyer   sal     0.09
4,734     pb   rad     8.41
5,734   lake   sal     0.05
6,734     pb  temp   -21.50
7,735     pb   rad     7.22
8,735    NaN   sal     0.06
9,735    NaN  temp   -26.00
10,751     pb   rad     4.35
11,751     pb  temp   -18.50
12,751   lake   sal     0.10
13,752   lake   rad     2.19
14,752   lake   sal     0.09
15,752   lake  temp   -16.00
16,752    roe   sal    41.60
17,837   lake   rad     1.46
18,837   lake   sal     0.21
19,837    roe   sal    22.50
20,844    roe   rad    11.25
